batter,runs_scored,balls_faced,matches_played,strike_rate,batting_score,cluster
Ab Agarkar,179,160,18,111.87499999999999,149.47500000000002,0
Ms Wade,183,185,14,98.91891891891892,149.28378378378378,0
S Gopal,180,173,22,104.04624277456647,149.00924855491326,0
Sameer Rizvi,172,126,9,136.5079365079365,148.6015873015873,4
Dh Yagnik,170,142,17,119.71830985915493,144.64366197183097,0
Mn Van Wyk,167,135,5,123.7037037037037,142.14074074074074,0
Cm Gautam,169,158,13,106.9620253164557,140.99240506329116,0
Dw Steyn,167,163,33,102.45398773006136,140.69079754601228,0
Mg Johnson,167,168,28,99.40476190476191,139.5809523809524,0
Pa Reddy,164,167,10,98.20359281437125,135.44071856287425,0
N Jagadeesan,162,155,10,104.51612903225806,135.30322580645162,0
Re Van Der Merwe,159,144,15,110.41666666666667,134.88333333333333,0
V Nigam,142,82,8,173.17073170731706,134.83414634146342,4
D Wiese,148,105,11,140.95238095238096,132.8904761904762,4
Mn Samuels,161,174,14,92.52873563218391,132.60574712643677,0
R Mclaren,159,178,13,89.32584269662921,130.46516853932584,0
Sb Dubey,139,87,11,159.77011494252872,130.35402298850573,4
Ad Hales,148,119,6,124.36974789915966,129.07394957983192,0
Sm Pollock,147,116,8,126.72413793103448,129.0448275862069,0
S Vidyut,145,115,8,126.08695652173914,127.51739130434783,0
Sachin Baby,144,123,11,117.07317073170731,125.31463414634146,0
Kamran Akmal,128,78,6,164.1025641025641,123.0205128205128,4
Anmolpreet Singh,139,117,9,118.80341880341881,121.96068376068376,0
M Jansen,141,136,20,103.6764705882353,121.43529411764705,0
S Anirudha,136,121,12,112.39669421487604,118.8793388429752,0
N Saini,140,143,10,97.9020979020979,118.58041958041959,0
M Morkel,126,93,20,135.48387096774192,117.29677419354837,4
Kk Cooper,116,70,12,165.71428571428572,115.54285714285713,4
Ut Khawaja,127,105,6,120.95238095238095,113.69047619047618,0
Tk Curran,127,108,10,117.59259259259258,113.41851851851851,0
B Lee,124,102,19,121.56862745098039,113.01372549019608,0
Rd Chahar,129,127,22,101.5748031496063,112.81496062992126,0
Sb Styris,131,134,10,97.76119402985076,112.25223880597014,0
W Jaffer,130,129,8,100.7751937984496,111.95503875968991,0
Ss Prabhudessai,126,113,10,111.50442477876106,111.5008849557522,0
Misbah-Ul-Haq,117,82,8,142.6829268292683,111.23658536585366,4
Ac Blizzard,120,91,7,131.86813186813185,111.07362637362637,4
